,venue
1119,symposium/workshop on haskell
1120,hellenic-european conference on computer mathematics and its applications
1121,Information Security Technical Report
1122,"international conference on mobile technology, applications, and systems"
1123,frontier of computer science and technology
1124,Simulation Practice and Theory
1125,statistical and scientific database management
1126,source code analysis and manipulation
1127,Logica Universalis
1128,Genome Biology
1129,Studia Informatica Universalis
1130,arXiv: Learning
1131,International Journal of Nanotechnology and Molecular Computation
1132,ACM Sigapp Applied Computing Review
1133,arXiv: Biological Physics
1134,Fixed Point Theory and Applications
1135,information processing and trusted computing
1136,IEEE Transactions on Cloud Computing
1137,Serials Review
1138,Applied Mathematics and Optimization
1139,Reliability Engineering & System Safety
1140,vision modeling and visualization
1141,Journal in Computer Virology
1142,International Journal of Information and Decision Sciences
1143,conference on information sciences and systems
1144,asia-pacific bioinformatics conference
1145,IEEE Transactions on Biomedical Engineering
1146,international conference on asian digital libraries
1147,IEEE Computer Architecture Letters
1148,Aslib Proceedings
1149,Philosophy & Technology
1150,Journal on Data Semantics
1151,Journal of Neurophysiology
1152,International Journal of Knowledge-based and Intelligent Engineering Systems
1153,Combinatorica
1154,International Journal of Digital Crime and Forensics
1155,symposium on reliable distributed systems
1156,network based information systems
1157,International Journal of Dependable and Trustworthy Information Systems
1158,Transportation Research Part B-methodological
1159,IEEE-ASME Transactions on Mechatronics
1160,Siam Journal on Control and Optimization
1161,fuzzy systems and knowledge discovery
1162,Advances in Applied Mathematics
1163,Journal of Advances in Information Technology
1164,International Journal of Parallel Programming
1165,computational topology in image context
1166,arXiv
1167,"Foundations and Trends in Technology, Information and Operations Management"
1168,Nonlinear Analysis-real World Applications
1169,International Journal of Circuit Theory and Applications
1170,arXiv: Geometric Topology
1171,bangalore annual compute conference
1172,Parallel Processing Letters
1173,advances in recent technologies in communication and computing
1174,"semantics, knowledge and grid"
1175,java technologies for real-time and embedded systems
1176,Solid State Communications
1177,Biomedical Instrumentation & Technology
1178,international symposium on wireless communication systems
1179,Bulletin of The European Association for Theoretical Computer Science
1180,International Journal of Applied Metaheuristic Computing
1181,IEEE Journal of Photovoltaics
1182,international symposium on robotics
1183,Contributions to Zoology
1184,"international joint conference on knowledge discovery, knowledge engineering and knowledge management"
1185,types in languages design and implementation
1186,pacific symposium on biocomputing
1187,Computer Supported Cooperative Work
1188,Regional Anesthesia and Pain Medicine
1189,network operations and management symposium
1190,Astérisque
1191,International Journal of Theoretical Physics
1192,Journal of Marine Research
1193,Vlsi Design
1194,Numerical Linear Algebra With Applications
1195,IEEE Computational Intelligence Magazine
1196,international symposium on signal processing and information technology
1197,Logistics Research
1198,Journal of Polymer Science Part B
1199,Journal of Information Technology
1200,Annals of the Institute of Statistical Mathematics
1201,Proceedings of The Royal Society of Edinburgh Section A-mathematics
1202,International Journal of Algebra and Computation
1203,Acta Mathematica Scientia
1204,international symposium conference on music information retrieval
1205,Child and Adolescent Psychiatric Clinics of North America
1206,international conference on weblogs and social media
1207,Automation in Construction
1208,Journal of The Operations Research Society of Japan
1209,Contemporary Music Review
1210,Ultrasonics
1211,Computers & Graphics
1212,Communications in Mathematical Physics
1213,virtual reality continuum and its applications in industry
1214,british machine vision conference
1215,Revue Dintelligence Artificielle
1216,Foundations and Trends in Signal Processing
1217,international conference on autonomic and autonomous systems
1218,Cognitive Science
1219,International Journal of E-health and Medical Communications
1220,Molecular Biology
1221,International Journal of Advanced Robotic Systems
1222,international symposium on parallel and distributed computing
1223,arXiv: Physics and Society
1224,Catalysis Today
1225,arXiv: Classical Physics
1226,international conference on web-based learning
1227,Foundations of Physics
1228,"autonomous infrastructure, management and security"
1229,static analysis symposium
1230,ACM Sigsoft Software Engineering Notes
1231,Journal of Lightwave Technology
1232,arXiv: Space Physics
1233,International Journal of Electrical Engineering Education
1234,Journal of Electronic Testing
1235,logic programming and non-monotonic reasoning
1236,Frontiers in Human Neuroscience
1237,Computers & Structures
1238,Digital Creativity
1239,Games and Economic Behavior
1240,BMC Evolutionary Biology
1241,Revista Colombiana De Computacion \/ Colombian Journal of Computation
1242,arXiv: Algebraic Topology
1243,Biomedical Optics Express
1244,ACM Journal on Emerging Technologies in Computing Systems
1245,mexican conference on pattern recognition
1246,component based software engineering
1247,ieee visualization
1248,Synthesis Lectures on Signal Processing
1249,virtual systems and multimedia
1250,Solid-state Electronics
1251,software product lines
1252,ACM Transactions on Software Engineering and Methodology
1253,Applied Mathematical Modelling
1254,international conference on hybrid information technology
1255,types for proofs and programs
1256,"symposium on languages, applications and technologies"
1257,European Physical Journal B
1258,IEEE Pervasive Computing
1259,Journal of Optics
1260,verification model checking and abstract interpretation
1261,Pli
1262,Monte Carlo Methods and Applications
1263,conference on spatial information theory
1264,Language
1265,cyberworlds
1266,Optimization and Engineering
1267,Annals of Surgical Oncology
1268,data engineering for wireless and mobile access
1269,arXiv: Networking and Internet Architecture
1270,international conference on contemporary computing
1271,international conference on conceptual modeling
1272,international workshop on the web and databases
1273,acm/ieee international conference on mobile computing and networking
1274,Ecological Indicators
1275,Journal of Visual Communication and Image Representation
1276,Journal of Heuristics
1277,communications and networking symposium
1278,arXiv: Social and Information Networks
1279,Optics Express
1280,Journal of Hospital Infection
1281,IEEE Antennas and Propagation Magazine
1282,symposium on operating systems principles
1283,Behaviormetrika
1284,Nano Letters
1285,Electronic Communication of The European Association of Software Science and Technology
1286,International Journal of Internet Technology and Secured Transactions
1287,arXiv: High Energy Physics - Lattice
1288,International Journal of Bilingual Education and Bilingualism
1289,IEEE Photonics Journal
1290,Industrial and Corporate Change
1291,digital image computing: techniques and applications
1292,Etri Journal
1293,International Journal of Technoethics
1294,Journal of Computational Acoustics
1295,Journal of Maps
1296,conference on communication networks and services research
1297,trust and privacy in digital business
1298,Mathematical Methods of Operations Research
1299,Environmental Modelling and Software
1300,distributed frameworks for multimedia applications
1301,IEEE Circuits and Systems Magazine
1302,Clinical Gastroenterology and Hepatology
1303,Obstetrics and Gynecology International
1304,software engineering research and applications
1305,Journal of Number Theory
1306,arXiv: Statistics Theory
1307,"Signal, Image and Video Processing"
1308,Biometals
1309,Current Opinion in Structural Biology
1310,Journal of The Indian Society of Remote Sensing
1311,IEEE Embedded Systems Letters
1312,owl: experiences and directions
1313,"Journal of Logic, Language and Information"
1314,Comptes Rendus Physique
1315,vlsi test symposium
1316,Lithuanian Mathematical Journal
1317,Journal of Bangladesh Academy of Sciences
1318,International Journal of Open Source Software and Processes
1319,Journal of Electrical and Computer Engineering
1320,International Journal of Innovation in The Digital Economy
1321,Iet Radar Sonar and Navigation
1322,International Journal of Std & Aids
1323,advances in multimedia
1324,Caries Research
1325,Advances in Electrical and Computer Engineering
1326,Nature Physics
1327,Journal of Geometric Analysis
1328,International Journal of Secure Software Engineering
1329,ieee virtual reality conference
1330,Linguistic Inquiry
1331,unifying theories of programming
1332,Acta Biotheoretica
1333,International Journal of Knowledge and Systems Science
1334,International Journal of Architectural Computing
1335,intelligent data acquisition and advanced computing systems technology and applications
1336,Fundamenta Mathematicae
1337,Procedia Computer Science
1338,european conference on object-oriented programming
1339,Geochimica et Cosmochimica Acta
1340,Frontiers in Psychology
1341,International Journal of Learning and Media
1342,Artificial Intelligence Review
1343,Journal of Classification
1344,International Journal of Mathematical Modelling and Numerical Optimisation
1345,Colloids and Surfaces A: Physicochemical and Engineering Aspects
1346,European Journal of Industrial Engineering
1347,International Journal of Online Engineering
1348,Nature Genetics
1349,Integrated Computer-aided Engineering
1350,sensor mesh and ad hoc communications and networks
1351,Electronic Journal of Combinatorics
1352,The FASEB Journal
1353,Digital Investigation
1354,artificial intelligence and interactive digital entertainment conference
1355,learning and intelligent optimization
1356,International Journal of Advanced Media and Communication
1357,conference on algebra and coalgebra in computer science
1358,Neural Computing and Applications
1359,acm symposium on parallel algorithms and architectures
1360,European Journal of Cancer
1361,arXiv: Solar and Stellar Astrophysics
1362,Computational Mechanics
1363,ACM Transactions on Accessible Computing
1364,Revista Panamericana De Salud Publica-pan American Journal of Public Health
1365,Archiv der Mathematik
1366,Journal of Interconnection Networks
1367,Journal of Theoretical Biology
1368,User Modeling and User-adapted Interaction
1369,Clinical Endocrinology News
1370,Medical Image Analysis
1371,Neuroscience Letters
1372,asian conference on machine learning
1373,Praxis Der Wirtschaftsinformatik
1374,european conference on computer systems
1375,Adaptive Behavior
1376,Log in
1377,Tissue Antigens
1378,robotics science and systems
1379,international conference on data mining
1380,International Journal of Strategic Decision Sciences
1381,Belgian Journal of Linguistics
1382,Periodica Mathematica Hungarica
1383,conference on network and service management
1384,Computer Communications
1385,Journal of Network and Systems Management
1386,international conference on computer vision systems
1387,International Journal of Digital Literacy and Digital Competence
1388,Sociologia
1389,International Journal of Number Theory
1390,Image Analysis & Stereology
1391,applied reconfigurable computing
1392,Frontiers in Digital Humanities
1393,International Journal of Artificial Life Research
1394,IEEE Transactions on Autonomous Mental Development
1395,Physiological Measurement
1396,network and system support for games
1397,College & Research Libraries News
1398,Canadian Journal of Remote Sensing
1399,international conference on music and artificial intelligence
1400,Journal of Neural Engineering
1401,Memory & Cognition
1402,Journal of Economic Geography
1403,Informatica (lithuanian Academy of Sciences)
1404,Aerospace Science and Technology
1405,Applied Economics Letters
1406,international conference on e business and telecommunication networks
1407,Library Review
1408,Cluster Computing
1409,Journal of Process Control
1410,computer supported cooperative work in design
1411,IEEE Design & Test of Computers
1412,Communications in Theoretical Physics
1413,Impact of Computing in Science and Engineering
1414,Journal of Communications and Networks
1415,national conference on artificial intelligence
1416,information and communication technologies and development
1417,Child Development
1418,Journal of Ambient Intelligence and Smart Environments
1419,euromicro conference on real-time systems
1420,atlantic web intelligence conference
1421,Numerical Mathematics-theory Methods and Applications
1422,Opuscula Mathematica
1423,international conference on peer to peer computing
1424,principles and practice of declarative programming
1425,Intellectica
1426,Chemical Engineering Research & Design
1427,Numerical Methods for Partial Differential Equations
1428,european solid-state circuits conference
1429,international multiconference on computer science and information technology
1430,IEEE Transactions on Microwave Theory and Techniques
1431,Transactions on Data Hiding and Multimedia Security
1432,"wireless, mobile and ubiquitous technologies in education"
1433,Sigspatial Special
1434,Discrete Optimization
1435,hellenic conference on artificial intelligence
1436,Multiagent and Grid Systems
1437,document engineering
1438,international conference on asian language processing
1439,implementation and application of functional languages
1440,European Physical Journal C
1441,environmental science and information application technology
1442,international workshop on peer to peer systems
1443,Information Research
1444,Journal of Systems Science & Complexity
1445,Kybernetes
1446,ieee international symposium on workload characterization
1447,portuguese conference on artificial intelligence
1448,Filomat
1449,Journal of Personality and Social Psychology
1450,field programmable logic and applications
1451,International Journal of Computer Processing of Languages
1452,international conference on machine learning and applications
1453,foundations of software technology and theoretical computer science
1454,international conference on computational collective intelligence
1455,arXiv: Strongly Correlated Electrons
1456,international conference on signal and image processing applications
1457,Numerical Algorithms
1458,international conference on networks and communications
1459,workshop on functional and constraint logic programming
1460,Synthesis Lectures on Mobile and Pervasive Computing
1461,pacific-asia conference on knowledge discovery and data mining
1462,international conference on formal engineering methods
1463,International Journal of Information and Communication Technology
1464,asia-pacific software engineering conference
1465,information interaction in context
1466,arXiv: Formal Languages and Automata Theory
1467,IEEE Signal Processing Letters
1468,theoretical aspects of software engineering
1469,integrated network management
1470,Linear & Multilinear Algebra
1471,International Journal of Internet Protocol Technology
1472,Journal of Architectural and Planning Research
1473,Transfusion
1474,Journal of Transportation Security
1475,Aviation
1476,australasian database conference
1477,partial evaluation and semantic based program manipulation
1478,arXiv: General Finance
1479,acm ieee international conference on mobile computing and networking
1480,high-performance computer architecture
1481,cooperative and human aspects of software engineering
1482,high performance computational finance
1483,analytical and stochastic modeling techniques and applications
1484,international colloquium on automata languages and programming
1485,Foundations and Trends in Microeconomics
1486,quality of software architectures
1487,workshop on graph-theoretic concepts in computer science
1488,Advances in Fuzzy Systems
1489,Discrete Applied Mathematics
1490,The International Journal of Advanced Manufacturing Technology
1491,Japanese Journal of Applied Physics
1492,Networks and Heterogeneous Media
1493,Journal of Mathematical Imaging and Vision
1494,Journal of Applied Mechanics-transactions of The Asme
1495,Transfusion and Apheresis Science
1496,Phonetica
1497,Malaysian Journal of Library & Information Science
1498,The Journal of Logic and Algebraic Programming
1499,Artificial Intelligence and Law
1500,International Journal of Social and Humanistic Computing
1501,"Annales Umcs, Informatica"
1502,Israel Journal of Chemistry
1503,Optical Memory and Neural Networks
1504,The Journal of Academic Librarianship
1505,intelligent technologies for interactive entertainment
1506,International Journal of Mathematics and Mathematical Sciences
1507,International Journal of Computer Applications
1508,IEEE Technology and Society Magazine
1509,Operations Research
1510,Structural Control & Health Monitoring
1511,Education and Information Technologies
1512,International Journal of Adaptive Control and Signal Processing
1513,Rejecta Mathematica
1514,"virtual environments, human-computer interfaces and measurement systems"
1515,mathematics of program construction
1516,Macromolecular Theory and Simulations
1517,intelligent robots and systems
1518,SpringerPlus
1519,information security
1520,Drug Discovery Today
1521,scandinavian conference on information systems
1522,Cryptography and Communications
1523,pacific rim international conference on multi-agents
1524,International Journal of Soft Computing
1525,databases and social networks
1526,ACM Transactions on Applied Perception
1527,Journal of Systems Integration
1528,Journal of Applied Non-Classical Logics
1529,International Journal of Software Engineering & Applications
1530,field-programmable logic and applications
1531,Higher-order and Symbolic Computation \/ Lisp and Symbolic Computation
1532,Laser Physics Review
1533,IEEE Transactions on Energy Conversion
1534,arXiv: Statistical Finance
1535,computer science and its applications
1536,high performance switching and routing
1537,international conference on intelligent robotics and applications
1538,New Generation Computing
1539,international conference on software maintenance
1540,Computers in Entertainment
1541,arXiv: Quantitative Methods
1542,Journal of Algorithms
1543,grid computing environments
1544,Computational Linguistics
1545,Journal of Biomedical Informatics
1546,international conference on signal acquisition and processing
1547,ieee international conference on pervasive computing and communications
1548,ACM Transactions on Database Systems
1549,Annals of Probability
1550,International Journal of Digital Multimedia Broadcasting
1551,international conference for young computer scientists
1552,Journal of Multivariate Analysis
1553,Biophysical Journal
1554,"International Journal of Modeling, Simulation, and Scientific Computing"
1555,International Journal of Control Automation and Systems
1556,autonomous and intelligent systems
1557,international conference on bio inspired systems and signal processing
1558,Applied Computational Intelligence and Soft Computing
1559,"international conference on mobile systems, applications, and services"
1560,Legal Studies
1561,Constructive Approximation
1562,Proceedings of The Japan Academy Series B-physical and Biological Sciences
1563,International Journal of Quantum Information
1564,Nuclear Engineering and Design
1565,"arXiv: Distributed, Parallel, and Cluster Computing"
1566,Electronic Letters on Computer Vision and Image Analysis
1567,Journal of the European Mathematical Society
1568,Parasitology International
1569,International Journal of Advanced Corporate Learning (ijac)
1570,International Journal of Intelligent Systems and Applications
1571,Information Systems
1572,IEEE Intelligent Systems & Their Applications
1573,Statistics in Medicine
1574,Jsme International Journal Series C-mechanical Systems Machine Elements and Manufacturing
1575,IEEE Intelligent Systems
1576,Journal of Web Semantics
1577,"IEEE Transactions on Audio, Speech, and Language Processing"
1578,Computerized Medical Imaging and Graphics
1579,Integral Transforms and Special Functions
1580,IEEE Geoscience and Remote Sensing Letters
1581,asian test symposium
1582,Advances in Artificial Neural Systems
1583,International Journal of Electronic Commerce
1584,Advances in Complex Systems
1585,Moscow Mathematical Journal
1586,Journal of The Peripheral Nervous System
1587,Transfusion Clinique Et Biologique
1588,arXiv: Soft Condensed Matter
1589,Annals of Hematology
1590,Frontiers in Neuroanatomy
1591,International Journal of Computer Integrated Manufacturing
1592,"verified software: theories, tools, experiments"
1593,Electronic Commerce Research
1594,Research and Practice in Technology Enhanced Learning
1595,international conference on informatics and semiotics in organisations
1596,active media technology
1597,brazilian symposium on formal methods
1598,Developmental Biology
1599,"ieee international conference on high performance computing, data, and analytics"
1600,International Journal of Systems Science
1601,Psychological Science
1602,virtual execution environments
1603,Entropy
1604,scandinavian workshop on algorithm theory
1605,Journal of Bionic Engineering
1606,Theory and Decision
1607,IEEE Communications Magazine
1608,Origins of Life and Evolution of Biospheres
1609,Space
1610,International Journal of Foundations of Computer Science
1611,arXiv: Computational Finance
1612,Computer Physics Communications
1613,ACM Lisp Bulletin
1614,Computational Social Networks
1615,Applied Intelligence
1616,International Journal of E-services and Mobile Applications
1617,Bulletin of The London Mathematical Society
1618,The Professional Geographer
1619,Journal of Software Maintenance and Evolution: Research and Practice
1620,the practice of enterprise modeling
1621,foundations of information and knowledge systems
1622,algorithmic learning theory
1623,International Journal of Information Security and Privacy
1624,Iee Proceedings - Software Engineering
1625,Mathematics and Computers in Simulation
1626,Computers & Operations Research
1627,Electronic Journal of Statistics
1628,"modeling, analysis, and simulation on computer and telecommunication systems"
1629,IEEE Control Systems Magazine
1630,ACM Sigsac Review
1631,IEEE Wireless Communications
1632,euromicro conference on real time systems
1633,Cognitive Computation
1634,International Journal of Nanomedicine
1635,agent directed simulation
1636,IEEE Transactions on Circuits and Systems for Video Technology
1637,visualization for computer security
1638,Computers and Electronics in Agriculture
1639,Journal of Cloud Computing
1640,Revista De Informática Teórica E Aplicada
1641,Dynamic Games and Applications
1642,workshop on program analysis for software tools and engineering
1643,Lab on a Chip
1644,Microprocessing and Microprogramming
1645,Applied Mechanics and Materials
1646,Open Mathematics
1647,AIP Advances
1648,arXiv: Neural and Evolutionary Computing
1649,microprocessor test and verification
1650,Log
1651,"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications"
1652,South African Computer Journal
1653,cyber enabled distributed computing and knowledge discovery
1654,ACM Transactions on Intelligent Systems and Technology
1655,Ad Hoc & Sensor Wireless Networks
1656,international conference on software engineering advances
1657,international conference on evolvable systems
1658,international conference on information technology: new generations
1659,"cooperative design, visualization, and engineering"
1660,Egyptian Computer Science Journal
1661,cooperative distributed systems
1662,information sciences signal processing and their applications
1663,workshops on enabling technologies: infrastracture for collaborative enterprises
1664,information and communication technologies and accessibility
1665,international conference on bioinformatics
1666,computer and information technology
1667,International Journal of Sensor Networks
1668,advanced architectures and algorithms for internet delivery and applications
1669,Journal of Symbolic Computation
1670,International Journal of Satellite Communications and Networking
1671,international conference on image analysis and processing
1672,software engineering and data engineering
1673,Synthesis Lectures on Computer Vision
1674,Advances in Mathematical Physics
1675,Molecular and Cellular Biochemistry
1676,arXiv: Numerical Analysis
1677,symposium on principles of programming languages
1678,Journal of Critical Care
1679,Gastroenterology
1680,arXiv: Representation Theory
1681,International Journal of Machine Tools & Manufacture
1682,Journal of Chemical Information and Computer Sciences
1683,international conference on biometrics
1684,parallel processing and applied mathematics
1685,tests and proofs
1686,Journal of The American Society for Information Science
1687,Computing Systems
1688,wireless and optical communications networks
1689,The Prague Bulletin of Mathematical Linguistics
1690,International Journal of Distributed Sensor Networks
1691,Physics Reports
1692,international conference on algorithms and complexity
1693,Cold Spring Harbor Symposia on Quantitative Biology
1694,Multibody System Dynamics
1695,Journal for General Philosophy of Science
1696,Synthetic Metals
1697,Journal of Quantitative Linguistics
1698,application specific systems architectures and processors
1699,workshop on image analysis for multimedia interactive services
1700,Journal of European Public Policy
1701,Transactions of The Japanese Society for Artificial Intelligence
1702,conference on automated deduction
1703,International Journal of Cognitive Informatics and Natural Intelligence
1704,randomization and approximation techniques in computer science
1705,latin american symposium on dependable computing
1706,Physics Research International
1707,Operations Research Letters
1708,NeuroImage
1709,asia pacific conference on circuits and systems
1710,advanced visual interfaces
1711,defect and fault tolerance in vlsi and nanotechnology systems
1712,Bioethics
1713,International Journal of Wireless Information Networks
1714,canadian semantic web working symposium
1715,European Journal of Radiology
1716,Journal of the American Geriatrics Society
1717,International Journal of Network Security
1718,international conference of fuzzy information and engineering
1719,Acta Cybernetica
1720,Procesamiento Del Lenguaje Natural
1721,Astrophysics and Space Science
1722,computational learning theory
1723,ACM Transactions on Programming Languages and Systems
1724,Resource and Energy Economics
1725,Journal of Computational Physics
1726,local computer networks
1727,Ai Communications
1728,Nature Methods
1729,international conference on signal processing and multimedia applications
1730,acm ieee joint conference on digital libraries
1731,ieee international software metrics symposium
1732,Astronomy and Astrophysics
1733,ACM Sigsim Simulation Digest
1734,service oriented computing and applications
1735,asia-pacific conference on wearable computing systems
1736,Cheminform
1737,international conference on computer communications
1738,Journal of Economic Behavior and Organization
1739,arXiv: Computation and Language
1740,Microelectronic Engineering
1741,computational aspects of social networks
1742,Wireless Engineering and Technology
1743,international conference on pervasive and embedded computing and communication systems
1744,ACM Transactions on Knowledge Discovery From Data
1745,International Journal of Actor-network Theory and Technological Innovation
1746,Briefings in Functional Genomics
1747,international symposium on computational intelligence and design
1748,Drug Discovery Today: Disease Models
1749,Information Storage and Retrieval
1750,arXiv: Spectral Theory
1751,IEEE Transactions on Human-Machine Systems
1752,"International Review of Law, Computers & Technology"
1753,india software engineering conference
1754,IEEE Journal of Quantum Electronics
1755,data storage and data engineering
1756,Information Technology & People
1757,international workshop on ambient assisted living
1758,Theory in Biosciences
1759,testbeds and research infrastructures for the development of networks and communities
1760,communicating process architectures
1761,arXiv: Physics Education
1762,Journal of Mathematical Psychology
1763,graphics recognition
1764,trends in functional programming
1765,digital forensic research workshop
1766,Chemsuschem
1767,usenix technical conference
1768,automated technology for verification and analysis
1769,computer-aided design and computer graphics
1770,Monthly Notices of the Royal Astronomical Society
1771,Computer Languages
1772,Neural Networks
1773,architectures for networking and communications systems
1774,algorithmic game theory
1775,IEEE Communications Surveys and Tutorials
1776,International Journal of Automation and Control
1777,Journal of Trust Management
1778,IEEE Transactions on Information Theory
1779,fun with algorithms
1780,designing interactive systems
1781,IEEE Geoscience and Remote Sensing Magazine
1782,International Transactions in Operational Research
1783,communication system software and middleware
1784,Ercim News
1785,Reports on Mathematical Logic
1786,Interactive Technology and Smart Education
1787,Logopedics Phoniatrics Vocology
1788,"International Journal of Parallel, Emergent and Distributed Systems"
1789,Oops Messenger
1790,Magnetic Resonance Imaging
1791,simulation tools and techniques for communications networks and system
1792,european test symposium
1793,Fractals
1794,International Journal of Communication Networks and Distributed Systems
1795,Economics Letters
1796,australian conference on artificial life
1797,Journal of Computational Neuroscience
1798,international conference on interactive digital storytelling
1799,ad hoc networks
1800,workshop on software and performance
1801,international conference on model transformation
1802,arXiv: Probability
1803,Journal of the American Mathematical Society
1804,Insurance Mathematics & Economics
1805,Computational and Mathematical Methods in Medicine
1806,Synthesis Lectures on Distributed Computing Theory
1807,Drug Safety
1808,"Combinatorics, Probability & Computing"
1809,Analysis and Applications
1810,Revue Francophone Des Laboratoires
1811,Cybernetics and Human Knowing
1812,provable security
1813,"international conference on acoustics, speech, and signal processing"
1814,IEEE Wireless Communications Letters
1815,International Journal of Vlsi Design & Communication Systems
1816,advances in geographic information systems
1817,Taiwanese Journal of Mathematics
1818,Science of The Total Environment
1819,Organization Science
1820,International Journal of Web Based Communities
1821,reconfigurable communication-centric systems-on-chip
1822,workshop on algorithms and computation
1823,Journal of Nutrition Health & Aging
1824,International Journal of Ad Hoc and Ubiquitous Computing
1825,data management for sensor networks
1826,soft computing and pattern recognition
1827,database systems for advanced applications
1828,Problems of Information Transmission
1829,Nuclear Physics B-proceedings Supplements
1830,asia-pacific network operations and management symposium
1831,"international convention on information and communication technology, electronics and microelectronics"
1832,Steel and Composite Structures
1833,Reviews in The Neurosciences
1834,Entertainment Computing
1835,Inorganica Chimica Acta
1836,"acm conference on systems, programming, languages and applications: software for humanity"
1837,Empirical Software Engineering
1838,IEEE Vehicular Technology Magazine
1839,Cvgip: Image Understanding
1840,International Mathematics Research Notices
1841,Journal of Mathematical Physics
1842,intelligent user interfaces
1843,Brain and Cognition
1844,Annals of Software Engineering
1845,Computer Aided Geometric Design
1846,Information Management & Computer Security
1847,conference on software maintenance and reengineering
1848,IEEE Systems Journal
1849,arXiv: Artificial Intelligence
1850,data compression conference
1851,international conference on global software engineering
1852,content-based multimedia indexing
1853,international conference on distributed smart cameras
1854,Robotics
1855,Linguistics and Philosophy
1856,computer science logic
1857,International Journal of Intelligent Defence Support Systems
1858,Bulletin of The Polish Academy of Sciences-technical Sciences
1859,Zeitschrift Für Medienpsychologie
1860,"international conference on mems, nano, and smart systems"
1861,Results in Mathematics
1862,"Genomics, Proteomics & Bioinformatics"
1863,"bioinspired models of network, information, and computing systems"
1864,Antiquity
1865,rfid technologies and applications
1866,european workshop on system security
1867,Journal of Fixed Point Theory and Applications
1868,First Monday
1869,international professional communication conference
1870,Trends in Biotechnology
1871,Journal of the American College of Cardiology
1872,Clinical and Investigative Medicine
1873,International Journal of Grid and Utility Computing
1874,International Journal of Chemical Reactor Engineering
1875,workshop on biomedical image registration
1876,"evolutionary computation, machine learning and data mining in bioinformatics"
1877,Information Systems Frontiers
1878,Journal of Graph Theory
1879,International Journal on Semantic Web and Information Systems
1880,design automation conference
1881,Human Factors
1882,cognitive radio and advanced spectrum management
1883,Quality & Quantity
1884,text retrieval conference
1885,Advances in Computational Mathematics
1886,Control and Intelligent Systems
1887,Reliable Computing
1888,Wireless Communications and Mobile Computing
1889,IEEE Transactions on Big Data
1890,Computer Vision and Image Understanding
1891,Comptes Rendus Mathematique
1892,Evolution: Education and Outreach
1893,fixed points in computer science
1894,Clinical Physics and Physiological Measurement
1895,Schedae Informaticae
1896,International Journal of Services Technology and Management
1897,Lecture Notes in Control and Information Sciences
1898,web information and data management
1899,Mathematics of Computation
1900,software engineering theory and practice
1901,Bulletin of The American Society for Information Science and Technology
1902,Human Brain Mapping
1903,Central European Journal of Physics
1904,IEEE Cloud Computing
1905,siam international conference on data mining
1906,Journal of Functional and Logic Programming
1907,Australasian Journal of Information Systems
1908,Cataloging & Classification Quarterly
1909,Management Decision
1910,International Journal on Advances in Ict for Emerging Regions (icter)
1911,arXiv: Graphics
1912,"tbilisi symposium on logic, language, and computation"
1913,Nature
1914,Radiocarbon
1915,Advances in Artificial Intelligence
1916,next generation teletraffic and wired/wireless advanced networking
1917,international conference on intelligent computing
1918,privacy in statistical databases
1919,Proceedings of the IEEE
1920,Gamm-mitteilungen
1921,parallel and distributed computing applications and technologies
1922,New Journal of Physics
1923,Materials and Manufacturing Processes
1924,Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms
1925,Acta Crystallographica Section D-biological Crystallography
1926,mobile wireless middleware operating systems and applications
1927,BMC Neuroscience
1928,International Journal of E-entrepreneurship and Innovation
1929,Journal of Statistical Computation and Simulation
1930,requirements engineering
1931,Transactions on Computational Science
1932,new technologies mobility and security
1933,International Journal of Information Systems for Crisis Response Management
1934,Bellman Prize in Mathematical Biosciences
1935,EURASIP Journal on Advances in Signal Processing
1936,Eurasip Journal on Image and Video Processing
1937,International Journal of Business Performance and Supply Chain Modelling
1938,"knowledge acquisition, modeling and management"
1939,International Journal of Advancements in Computing Technology
1940,Synthesis Lectures on Computational Electromagnetics
1941,Process Safety and Environmental Protection
1942,Cryptologia
1943,3d Research
1944,International Journal of High Performance Computing and Networking
1945,international conference on wireless information networks and systems
1946,industrial engineering and engineering management
1947,asian semantic web conference
1948,Journal of Geographical Systems
1949,The Journal of Politics
1950,Computational Visual Media
1951,intelligent data analysis
1952,Elektronika Ir Elektrotechnika
1953,Decision Support Systems
1954,Aeu-international Journal of Electronics and Communications
1955,wireless algorithms systems and applications
1956,Journal of Intellectual Disability Research
1957,Surface Science
1958,American Behavioral Scientist
1959,Russian Mathematical Surveys
1960,international conference on service oriented computing
1961,International Journal of Image and Graphics
1962,International Journal of Enterprise Information Systems
1963,"Transforming Government: People, Process and Policy"
1964,Journal of Electronic Publishing
1965,Journal of Biomedical Discovery and Collaboration
1966,Stochastic Models
1967,It Professional
1968,Esaim: Proceedings
1969,international conference on conceptual structures
1970,Synthesis Lectures on Engineering
1971,asian simulation conference
1972,information theory and applications
1973,information technology interfaces
1974,Ecotoxicology
1975,IEEE Concurrency
1976,arXiv: Optics
1977,"Applicable Algebra in Engineering, Communication and Computing"
1978,Volume!
1979,euro american conference on telematics and information systems
1980,Acta Astronautica
1981,Information Fusion
1982,international conference on database theory
1983,Frontiers in Robotics and AI
1984,System Dynamics Review
